
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahrain","BHR","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","30246749.8010082","35106382.9787234","38563829.787234","43085106.3829787","43617021.2765957","43617021.2765957","41778723.4042553","45538031.9148936","43705319.1489362","43856914.893617","40155319.1489362","40721542.5531915","43229787.2340426","44273936.1702128","47900000","50477659.5744681","","","","","","","","","","","","","","","76542553.1914894","83696808.5106383","84787234.0425532","89414893.6170213","100132978.723404","98191489.3617021","",
"Bahamas, The","BHS","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","41700000","44200000","44800000","49600000","","61623000","69922000","88162000","82793000","76103000","87181000","97183000","95527000","153765000","147122000","147948000","165671000","157082000","201861000","178023000","154327000","157768000","180451000","178422000","173387000","148876000","170017000","169592000","176221000","148018000","151382000","143306000","",
"Bosnia and Herzegovina","BIH","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450246913.580247","386380573.581746","576711390.217969","643230494.204486","657042109.450475","621468409.586057","490222797.927461","509800969.985359","550332050.048123","614459896.133872","887378412.698413","930209830.22827","1035309473.41415","1214618614.41568","1376173606.95027","1245111868.74068","1165792645.7642","1258893311.536","1056749441.59769","1243560518.63417","1103561931.89527","1010179756.16671","1059189525.47933",
"Belarus","BLR","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4968000000","3509200000","3841851851.85185","2793884297.52066","2029036589.45955","2203024652.99358","2228061538.46154","1895732552.76537","1836051855.70586","1541656270.68333","1540755557.2971","1278776978.41727","1478237126.567","1539338293.18505","2048088700.51633","2573474106.47129","3170854013.13703","3759322294.99734","5264937821.73027","4119798534.16116","5089021020.5774","4942153223.6356","5340883191.53419","5142739865.55823","5755761936.07214","3547170758.62727","3244707065.62736",
"Belize","BLZ","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","39500000","42600000","46700000","44450000","35400000","35800000","38700000","37290000","41150000","54500000","59200000","65650000","71750000","70554350","82718350","84611250","87551500","98808450","101388750","100928900","101716350","113994750","126402200","118948450","122820350","143551900","151615100","148274250","154909300","148826100","150222750","149886700","160621450","170189500","205573450","216774000","229367050","218459250","159821800",
"Bermuda","BMU","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21563120","23462616","21915236","23271031","23281000","25481000","31319000","34407000","37858000","39025000","46389000","45249000","48301000","42987000","42971000","43782000","41023000","41539000","","","",
"Bolivia","BOL","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","198400673.400673","217424242.424242","242121098.157202","254122938.530735","446226886.556722","501249375.312344","563168415.792104","651224387.806097","695102448.775612","798057177.025285","769056048.123981","1018012732.4633","899880128.044051","1055147646.24617","1329266081.39264","1022523515.49557","670448916.730837","708549529.162713","723452498.468242","719806589.193366","747349061.510094","830456906.663688","812957825.919754","840013364.282197","911798073.801537","997834718.663417","1049235998.89646","1182372532.97299","1072851853.86835","1098434725.75872","1088857604.91631","1079214003.54175","1024164993.0265","1085238275.53792","1168832913.30645","1126096130.71993","1252553672.17535","1313429794.17159","1741200419.98812","1933826638.17664","2041578092.26559","2341089087.5018","2657574674.38495","3055809985.52822","3213900434.1534","3379053400.86831","3771733863.96527",
"Brazil","BRA","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","2679301006.89669","2604792800.57867","3095469467.44058","3482148271.75638","3359593665.25553","3633362054.60904","3603489773.5958","3980945162.09314","4006319533.33873","4148971365.68338","4390904238.75018","5419467730.85808","6479656891.15567","9074168979.6725","11805727206.0522","13215473676.3705","17488792499.4264","22780422683.1598","20635507897.7901","22271744190.9144","23384778420.9235","25397776715.1497","22711381551.5812","19977112648.1064","21839449808.1673","23417382758.3592","26626058417.942","26493865934.7073","30206070508.5321","35927000000","31751335800","40927000000","27160437500","28735214285.7143","47642734240.5756","38743598125.7492","40552183862.3023","41377551020.4082","41028005170.1853","27847027056.8138","31135829461.6015","26855284414.5906","27812276092.6678","34432889177.7706","37918632478.6325","41471409792.9675","48404358019.5835","61708181397.9765","77463191187.6977","74628388516.555","90912346521.146","113595767575.323","102757155291.588","111446129585.826","106236719082.023","77025158556.0131","84610776726.8558",
"Barbados","BRB","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69308407.4976383","69855317.4563715","67250000","66424700.4424999","52503356.0383831","70998856.4609954","78804753.1447323","66772734.0526028","56182568.4880426","68910654.8003779","61050000","64700000","58700000","63500000","56600000","60600000","63400000","60300000","62350000","62900000","60500000","57600000","62500000","67950000","62900000","","",
"Brunei Darussalam","BRN","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","14362509.7459888","15603255.5981951","15784361.3404565","17627285.3980487","21108179.4195251","25292007.7255587","31290864.9355502","30292990.0127799","35981308.4112149","37860861.3345954","40316909.6619943","42725330.6667879","45467070.8184073","53181386.5147199","59630292.1884317","28707173.2553966","34013517.2413793","37833005.3253068","40379987.7225292","44232145.0674588","48995286.1071101","54986947.9328348","57402836.8794326","63789129.8491379","57132648.1835564","56809085.5457227","61476624.1299304","63548138.6392811","63900871.2163521","80143496.7282746","88756892.675423","90223624.1288152","80999433.5703946","84466856.8774467","91518487.1577759","97552591.7778084","100476714.3381","106526750.934097","124839948.783611","123881074.168798","147592738.75296","142555822.241618","137219680.459862",
"Bhutan","BTN","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","58203193.3842239","59586916.8591224","61765560.2536998","68610712.8712871","70532139.084507","73415222.3120453","83360681.998414","90554807.0987654","106483160.91954","97032600.1232286","103059954.311822","82222436.235708","83827573.3024691","73855378.8127255","90521852.0879821","93476805.4270737","95451309.6246119","109840773.89149","107413691.226369","110345766.372503","117699675.122385","121817452.85018","137044931.084139","151699832.546157","168470183.142101","182912324.263039","192181773.235924","223324389.034669","231656333.036051","230525665.577943","266322951.156677","297154847.280402","291145494.150143","289601316.090365","328529645.499308","343054375.63034","345553186.011522",
"Botswana","BWA","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","13145100.2383289","13794599.1325031","14498247.5816627","15132392.0033552","16051442.9109159","15496300.4327796","20223152.0223152","24198047.4198047","28940027.8940028","29940119.760479","31756002.2333892","41876398.2102908","54544272.5263295","80752053.0182971","97277409.8601913","97836375.9296822","91766329.3468261","102078384.7981","108850519.198261","118650306.748466","134778692.743181","132843313.015418","104253666.116345","93445163.6429939","85528342.5754775","66014926.9420793","73625671.8641903","122729167.907559","148939079.076889","144845898.059457","171566783.122816","172571923.229125","192099066.217946","188085510.296727","159986590.181033","219392540.220763","178930268.936887","177851429.8236","151707328.616389","164021278.436121","161766435.37575","142196808.874889","131925787.793546","204494333.218853","202401627.991221","181578937.069505","207436675.461741","245114948.096081","276474475.97006","289438886.558259","318136792.845846","385475362.816683","388668557.822273","342843522.822071","339445812.445837","317888505.888784","",
"Central African Republic","CAF","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","65697995.8859206","62276537.1314694","60568884.0975785","65033544.7662773","63471156.7829894","60057249.7197028","66822428.3792102","78959566.3332111","92422602.7999562","110093404.90651","132983128.873717","169909709.333105","190491929.125605","227337286.550008","262314687.366022","300076249.671052","259447358.881837","293968192.332283","251398996.499294","250070544.74734","378163792.700489","524718175.462792","531296354.587095","578972778.751055","547760042.607042","652177585.938395","592952529.697076","620279887.778919","560674326.34112","364362909.752025","491495114.478981","505512240.779244","482153081.864494","498564458.994786","482845259.478209","452683254.765643","475474534.830026","504618575.321648","618535533.274845","668177929.404745","697958795.991644","767618281.547117","868818787.364366","1043402611.85598","1012356775.28128","998744137.119228","1132611560.77964","1101124700.33422","664714892.316412","691280322.401222","633479892.366128","710500127.316958",
"Canada","CAN","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20612605902.6161","24749765698.2193","18866240923.8037","21485924716.2237","28719675128.0402","30051392423.0517","31790744849.0295","","","",
"Central Europe and the Baltics","CEB","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25901753946.3546","25669774337.662","24747095195.0678","24593113672.1371","20751358746.6989","19192384686.4895","21992915031.4081","22160384973.4041","25704079586.8873","34064195071.6989","33533754621.6481","35676452784.8209","41298423853.4704","49615149920.2661","37978204225.1063","39069959382.9081","49727318026.5056","42963122993.2161","48204288635.1984","47376227420.4963","36643397446.3301","36523444564.1823",
"Switzerland","CHE","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5697641880.21883","5270028451.88285","5069357417.15261","4506168651.86789","4638971265.62843","5053275602.537","4351127427.18447","3727709777.44092","3712863567.38861","3355278591.39928","3138534284.69919","2767953958.28395","2964861734.89029","3212847776.04515","3848165983.11218","3520132990.68423","3511594672.19652","3847370376.54115","4634357215.40024","4080723095.30374","4081335082.81687","4878243891.97803","4401488437.64355","4770999432.13641","5108686623.10344","4422430253.11558","",
"Channel Islands","CHI","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","407272727.272727","440000000","472727272.727273","429375000","488695652.173913","508750000","624358974.358974","575882352.941176","526086956.521739","547209302.325581","590619469.026549","843278688.52459","936057692.307692","1067444134.07821","882788461.538462","475240529.531568","832087126.436782","1313343082.63695","1170384775.74226","1506839704.69799","1992461538.46154","2137666666.66667","1485621685.32705","1147531412.61581","1380747359.87002","1218307845.33134","1518752915.56523","1819784877.62636","2048651075.46631","2287787975.27627","2497566415.2181","3207279079.09054","3855535330.13404","3572862904.22347","3820058070.3508","4567094286.36238","4249742860.50404","4619030798.4546","4653413880.37976","4237497300.79799","4187297648.70526","3129453594.51287","3093005620.37333","3369967332.22447","4031723175.72556","5083218215.0625","6001302205.08227","6441651359.27017","6665888695.80696","6449404183.82559","7902076684.29465","9260691764.69372","8827807616.19442","9414590805.39234","10224362553.2613","9550663099.55557","9714361140.28986",
"China","CHN","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","13839467056.6252","17917783735.4781","18405231944.1059","20208790316.0289","22706962385.2466","26448127386.4652","28523844341.5387","29011292550.1665","29502802827.1996","29904947599.3176","32224388658.705","33564871232.4316","36853592267.605","45616768875.0377","48194982663.6753","52220668889.1279","49814566807.4585","50715900527.5057","41402439024.3902","54739130434.7826","56645833333.3333","61337301587.3016","67240458015.2672","75130268199.2337","81985714285.7143","86452380952.381","80118840579.7101","71849775784.7534","78831275720.1646","85591093117.4089","95931166347.9923","92139372822.2997","91056514913.6578","85866380761.2232","109898244514.834","143946016501.611","166922854874.793","172081352988.009","176573540602.239","175748644045.275","177780730575.957","187293858960.264","195604687688.776","205028391929.443","252565000966.557","266120351951.967","292434845862.493","365271114032.205","471357232288.054","500070263781.948","581401119595.882","714433181149.888","806398618570.093","893009780819.265","949693980531.953","977311922922.521","958246670178.343",
"Cote d'Ivoire","CIV","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","261674781.429156","286908232.933119","296211665.542241","336132441.338621","366595704.476891","364399253.410071","383428076.705156","376421422.441951","455638457.340647","456992324.990787","463815346.13758","489184018.535971","551130101.227008","778862313.651806","781870870.406768","1099793780.96232","1141240542.28805","1520272069.28371","2044706186.72058","2413953204.56409","2633477082.5011","2237502889.43314","1825588946.10359","1496328801.83485","1651193310.00074","1851699393.89623","2606594257.85122","2943814520.09506","3285687074.15388","3192277399.99241","3508481538.1937","3493409883.27474","3793090627.28804","3116583818.62576","2100306436.34681","2720072948.04511","2986569955.49234","2733537170.18573","3049211816.96539","2871743681.28847","2678089144.25944","2901833941.87345","3367011091.43598","4405371091.51527","3905153053.80734","3860040066.87798","4027488759.11018","4474543198.06838","5493492372.68965","5146881643.96129","6104026635.59988","6774569099.15758","6092930228.38552","6560656003.23952","7446441236.33315","6587570289.91881","6888004915.9919",
"Cameroon","CMR","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","266482866.131334","271772879.927005","290809637.2788","331780231.750153","354063426.924541","363822183.166624","382588180.054113","457403156.34699","541561871.886797","666268529.236115","801599035.473568","849450465.087453","1132617513.91654","1382658053.02969","1791296623.2143","1933032256.87723","2075297380.50037","1977608331.10022","1712094169.68793","1714211214.01805","1677762346.34526","2297317074.60915","2950924354.49588","2991196587.97932","2841467185.02018","2675806693.67419","3016457111.43804","3029101303.87238","2629426323.22307","2062791362.53532","1918649691.19645","2128430072.29561","2249479752.59465","2253381863.76841","2366739916.23901","1900966167.97497","1969453950.2359","2224746318.08688","2742700962.64575","2991653282.0933","3157740999.88227","3473847210.91488","4310788896.70639","5040074335.87767","5064179117.43733","5118135911.82308","5780826382.73866","5668815622.12858","6252396567.07959","6529686599.31434","5957397884.35023","",
