  20000101,   61,   35,   81
  20000102,   73,   54,   87
  20000103,   84,   64,   96
  20000104,   64,   43,   94
  20000105,   44,   14,   74
  20000106,   72,   42,   91
  20000107,   61,   43,   74
  20000108,   54,    8,   81
  20000109,    8,  -26,   70
  20000110,   -8,  -40,   43
  20000111,   21,  -12,   44
  20000112,    7,   -6,   26
  20000113,   20,   -9,   36
  20000114,   29,   15,   40
  20000115,   32,   20,   54
  20000116,   54,   27,   69
  20000117,   64,   48,   75
  20000118,   66,   41,   86
  20000119,   39,   13,   56
  20000120,   52,   36,   61
  20000121,   52,   23,   78
  20000122,   47,   30,   61
  20000123,   11,  -40,   44
  20000124,  -28,  -77,    9
  20000125,    5,  -14,   28
  20000126,   24,  -11,   55
  20000127,   24,    5,   38
  20000128,   32,   -4,   59
  20000129,   90,   55,  113
  20000130,   91,   72,  103
  20000131,   97,   87,  108
  20000201,   90,   76,  102
  20000202,   74,   60,   90
  20000203,   64,   34,   91
  20000204,   76,   56,   92
  20000205,   84,   61,  118
  20000206,   76,   54,   89
  20000207,   79,   63,   94
  20000208,   86,   63,  119
  20000209,   65,   49,   85
  20000210,   58,   35,   82
  20000211,   46,    5,   89
  20000212,   45,   21,   69
  20000213,   52,   15,   83
  20000214,   45,   -8,   80
  20000215,   66,   43,   91
  20000216,   37,    3,   63
  20000217,   36,    9,   79
  20000218,   49,    8,   84
  20000219,   48,   13,   68
  20000220,   22,  -28,   78
  20000221,   22,  -37,   60
  20000222,   28,   -7,   65
  20000223,   51,  -15,  100
  20000224,   78,   43,   97
  20000225,   54,   29,   92
  20000226,   34,   -7,   95
  20000227,   76,    6,  123
  20000228,   92,   53,  127
  20000229,   65,   39,   88
  20000301,   53,   26,   82
  20000302,   49,   14,   82
  20000303,   69,   33,  102
  20000304,   19,   -2,   54
  20000305,   32,   -4,   75
  20000306,   63,   31,   84
  20000307,   96,   75,  129
  20000308,  111,   95,  129
  20000309,  107,   64,  136
  20000310,   65,    7,   99
  20000311,   87,   53,  116
  20000312,   77,   39,  123
  20000313,   77,   39,  103
  20000314,   78,   36,  102
  20000315,   60,   20,   87
  20000316,   80,   49,  104
  20000317,   82,   47,  108
  20000318,   70,   55,   91
  20000319,   58,   14,  104
  20000320,   51,  -11,  109
  20000321,   60,   14,  101
  20000322,   72,   -7,  158
  20000323,   72,    9,  134
  20000324,   88,   49,  123
  20000325,   86,   52,  118
  20000326,   63,   44,  105
  20000327,   56,   32,   91
  20000328,   41,   25,   52
  20000329,   59,   42,   78
  20000330,   65,   56,   78
  20000331,   61,   46,   78
  20000401,   62,   30,   89
  20000402,  100,   47,  143
  20000403,  119,   68,  168
  20000404,  101,   47,  160
  20000405,   48,   17,   77
  20000406,   48,  -20,  109
  20000407,   55,  -13,  131
  20000408,   66,  -22,  128
  20000409,   93,   41,  155
  20000410,   59,   15,  104
  20000411,   61,  -24,  124
  20000412,   62,   39,   85
  20000413,   59,   34,   92
  20000414,   69,   26,  117
  20000415,   89,   55,  136
  20000416,   93,   54,  133
  20000417,  107,   67,  150
  20000418,  106,   61,  157
  20000419,  119,   52,  180
  20000420,  134,   63,  174
  20000421,  137,   99,  182
  20000422,  133,   92,  181
  20000423,  111,   86,  133
  20000424,  113,   65,  170
  20000425,  149,   68,  206
  20000426,  149,  102,  224
  20000427,  152,  108,  195
  20000428,  158,   84,  230
  20000429,  119,  106,  144
