  20160715,  166,   91,  213
  20160716,  197,  169,  226
  20160717,  198,  145,  238
  20160718,  202,  132,  265
  20160719,  228,  120,  295
  20160720,  254,  188,  329
  20160721,  218,  164,  274
  20160722,  211,  168,  261
  20160723,  211,  176,  253
  20160724,  207,  155,  255
  20160725,  182,  126,  224
  20160726,  184,  114,  234
  20160727,  179,  160,  213
  20160728,  190,  154,  235
  20160729,  183,  154,  212
  20160730,  177,  160,  209
  20160731,  170,  129,  205
  20160801,  165,  131,  210
  20160802,  166,  136,  186
  20160803,  190,  164,  217
  20160804,  173,  150,  208
  20160805,  176,  129,  216
  20160806,  164,  105,  224
  20160807,  184,  105,  228
  20160808,  172,  125,  205
  20160809,  144,  103,  185
  20160810,  128,   69,  168
  20160811,  136,   67,  163
  20160812,  189,  163,  226
  20160813,  176,  143,  215
  20160814,  170,   96,  217
  20160815,  161,   82,  217
  20160816,  163,  114,  210
  20160817,  172,  100,  234
  20160818,  177,   97,  242
  20160819,  181,   98,  243
  20160820,  178,  148,  229
  20160821,  167,  147,  198
  20160822,  180,  142,  227
  20160823,  210,  140,  269
  20160824,  228,  170,  302
  20160825,  243,  172,  310
  20160826,  221,  176,  262
  20160827,  216,  161,  265
  20160828,  205,  177,  246
  20160829,  172,  100,  214
  20160830,  162,   85,  238
  20160831,  174,   86,  254
  20160901,  172,  102,  229
  20160902,  166,   97,  217
  20160903,  185,  144,  229
  20160904,  179,  157,  213
  20160905,  173,  115,  228
  20160906,  177,  113,  242
  20160907,  183,  114,  268
  20160908,  196,  116,  276
  20160909,  169,  117,  229
  20160910,  184,  113,  257
  20160911,  185,  148,  217
  20160912,  209,  150,  281
  20160913,  235,  152,  312
  20160914,  230,  153,  314
  20160915,  226,  165,  290
  20160916,  174,  155,  212
  20160917,  173,  137,  216
  20160918,  167,  142,  207
  20160919,  144,   95,  198
  20160920,  145,   79,  200
  20160921,  147,   83,  207
  20160922,  138,   69,  213
  20160923,  136,   73,  203
  20160924,  152,   83,  236
  20160925,  163,  121,  243
  20160926,  135,   76,  191
  20160927,  145,   56,  204
  20160928,  187,  162,  216
  20160929,  159,  138,  177
  20160930,  145,  108,  187
  20161001,  135,   99,  176
  20161002,  121,   88,  157
  20161003,  145,  111,  190
  20161004,  130,   99,  173
  20161005,   98,   54,  141
  20161006,   94,   39,  127
  20161007,  118,  100,  145
  20161008,  110,   65,  142
  20161009,   79,   13,  145
  20161010,   79,   19,  135
  20161011,   80,    3,  131
  20161012,   89,   68,  110
  20161013,   91,   77,  114
  20161014,   99,   73,  134
  20161015,  107,   89,  137
  20161016,  133,   82,  188
  20161017,  121,   82,  163
  20161018,  102,   75,  128
  20161019,   88,   44,  120
  20161020,   85,   27,  120
  20161021,   76,   15,  127
  20161022,   67,   10,  104
  20161023,   48,   -7,  116
  20161024,   71,   41,   95
  20161025,   87,   79,  101
  20161026,   95,   40,  126
  20161027,  118,  104,  138
  20161028,  131,  103,  148
  20161029,   96,   52,  154
  20161030,   87,   41,  153
  20161031,   85,   29,  162
  20161101,   81,   40,  138
  20161102,   72,   22,  117
  20161103,   67,    8,  120
  20161104,   76,   63,   97
  20161105,   69,   49,  108
  20161106,   61,   24,   93
  20161107,   42,   -1,   57
  20161108,   19,  -29,   56
  20161109,   30,    5,   43
  20161110,   40,   31,   52
  20161111,   18,  -31,   58
  20161112,   20,  -33,   50
  20161113,   27,  -10,   47
  20161114,   31,  -23,   69
  20161115,  108,   69,  129
  20161116,  119,   93,  142
  20161117,   93,   76,  115
  20161118,   60,   32,   82
  20161119,   58,   40,   81
  20161120,   84,   48,  125
  20161121,  120,   81,  139
  20161122,  110,   65,  142
  20161123,   79,   37,  111
  20161124,   66,   30,   87
  20161125,   33,   -6,   84
  20161126,   -1,  -26,   36
  20161127,   56,  -10,   94
  20161128,   -3,  -41,   42
  20161129,  -31,  -70,   43
  20161130,   20,  -70,   68
  20161201,   79,   51,   94
  20161202,   52,  -25,   94
  20161203,   -1,  -43,   81
  20161204,  -14,  -50,   40
  20161205,  -27,  -69,   41
  20161206,    1,  -53,   54
  20161207,   63,   18,   95
  20161208,   82,   64,   96
  20161209,   91,   74,  104
  20161210,   78,   66,   92
  20161211,   85,   69,   96
  20161212,   53,    8,   76
  20161213,   66,   53,   75
  20161214,   73,   48,   91
  20161215,   65,   52,   79
  20161216,   54,   27,   75
  20161217,   61,   32,   85
  20161218,   62,   26,   91
  20161219,   43,   -2,   75
  20161220,   -6,  -27,   10
  20161221,   41,    0,   71
  20161222,   59,   48,   69
  20161223,   60,   43,   80
  20161224,   79,   61,   97
  20161225,  104,   81,  117
  20161226,   83,   61,  118
  20161227,   66,   30,   93
  20161228,   10,  -31,   43
  20161229,  -22,  -40,   -8
  20161230,  -11,  -40,   15
  20161231,   18,    8,   33
